Route,Run,Sequence,Bus_Stop_Code
107,1,44,59465
107,1,45,58249
107,1,46,52353
107,1,47,54695
107,1,48,47547
107,1,49,77576
107,1,50,56445
107,2,1,75760
107,2,2,50879
107,2,3,49446
107,2,4,52177
107,2,5,73908
107,2,6,76890
107,2,7,55649
107,2,8,57602
107,2,9,50316
107,2,10,52728
107,2,11,58167
107,2,12,47104
107,2,13,76100
107,2,14,77512
107,2,15,77157
107,2,16,50720
107,2,17,76348
107,2,18,59322
107,2,19,58041
107,2,20,76623
107,2,21,57484
107,2,22,55105
107,2,23,48284
107,2,24,75943
107,2,25,73877
107,2,27,72193
107,2,28,53642
107,2,30,75324
107,2,31,59064
107,2,33,54090
107,2,34,58439
107,2,35,75148
107,2,36,71942
107,2,37,50439
107,2,38,56188
107,2,39,54395
107,2,40,56211
107,2,41,77008
107,2,42,91269
107,2,43,55385
107,2,44,51472
107,2,45,50689
107,2,46,71350
107,2,47,71192
108,1,1,50151
108,1,2,49783
108,1,3,72263
108,1,4,51671
108,1,5,72645
108,1,6,54140
108,1,7,74025
108,1,8,56772
108,1,9,57163
108,1,10,76073
108,1,11,53456
108,1,12,71807
108,1,13,56252
108,1,14,53638
108,1,15,51214
108,1,16,73038
108,1,17,48422
108,1,18,48678
108,1,19,47974
108,1,20,73267
108,1,21,76374
108,1,22,57206
108,1,23,74862
108,1,24,49718
108,1,25,76552
108,1,26,50206
108,1,27,51627
108,1,28,72061
108,1,29,77673
108,1,30,58007
108,1,31,57823
108,1,32,73011
108,1,33,54417
108,1,34,74805
108,1,35,58395
108,1,36,74304
108,1,37,57289
108,2,1,76375
108,2,2,54803
108,2,3,58152
108,2,4,50679
108,2,5,59454
108,2,6,54957
108,2,7,71099
108,2,8,50082
108,2,9,54570
108,2,10,54136
108,2,11,49487
108,2,12,48833
108,2,13,52982
108,2,14,55232
108,2,15,49799
108,2,16,74535
108,2,17,75109
108,2,18,53257
108,2,19,73031
108,2,20,73327
108,2,21,50142
108,2,22,52050
108,2,23,54510
108,2,24,72535
108,2,25,50141
108,2,26,72212
108,2,27,52074
108,2,28,58196
108,2,29,53203
108,2,30,72145
108,2,31,76906
108,2,32,52083
108,2,33,77535
