Route,Direction,Direction_Destination
223,1,WEMBLEY CENTRAL STATION  
223,2,HARROW BUS STATION
224,1,MITCHELL WAY
224,2,WEMBLEY STADIUM STATION 
225,1,CANADA WATER BUS STATION
225,2,SPRINGBANK ROAD / HITHER GREEN STATION
226,1,GOLDERS GREEN STATION 
226,2,EALING BROADWAY STATION  
227,1,CRYSTAL PALACE
227,2,BROMLEY NORTH STATION 
228,1,CHIPPENHAM ROAD / SHIRLAND ROAD
228,2,CENTRAL MIDDLESEX HOSPITAL
229,1,QUEEN MARY'S HOSPITAL / CHISLEHURST ROAD
229,2,THAMESMEAD TOWN CENTRE
230,1,WOOD GREEN STATION 
230,2,FYFIELD ROAD
231,1,TURNPIKE LANE BUS STATION
231,2,ENFIELD CHASE STATION
232,1,TURNPIKE LANE STATION 
232,2,MITCHELL WAY
233,1,BEECHENLEA LANE
233,2,ELTHAM BUS STATION 
234,1,HIGHGATE WOOD
234,2,THE SPIRES
235,1,BRENTFORD COUNTY COURT
235,2,THREE FISHES
236,1,HACKNEY WICK
236,2,FINSBURY PARK INTERCHANGE  
237,1,WHITE CITY BUS STATION 
237,2,HOUNSLOW HEATH / THE HUSSAR
238,1,BARKING STATION  
238,2,STRATFORD BUS STATION   [DLR]
240,1,EDGWARE STATION 
240,2,GOLDERS GREEN STATION 
241,1,PRINCE REGENT BUS STATION [DLR]
241,2,STRATFORD CITY BUS STATION
242,1,TOTTENHAM COURT ROAD STATION 
242,2,HOMERTON HOSPITAL
243,1,WATERLOO STATION / MEPHAM STREET  
243,2,WOOD GREEN STATION 
244,1,GAYTON ROAD / ABBEY WOOD STATION 
244,2,QUEEN ELIZABETH HOSPITAL / WEST ENTRANCE
245,1,GOLDERS GREEN STATION 
245,2,GLACIER WAY
246,1,CHARTWELL
246,2,BROMLEY NORTH STATION 
247,1,ROMFORD STATION 
247,2,BARKINGSIDE STATION 
248,1,MOOR LANE
248,2,ROMFORD MARKET
249,1,JASMINE GROVE
249,2,CLAPHAM COMMON OLD TOWN
250,1,FAIRFIELD HALLS
250,2,BRIXTON STATION  
251,1,EDGWARE STATION 
251,2,ARNOS GROVE STATION 
252,1,HORNCHURCH TOWN CENTRE
252,2,COLLIER ROW / CLOCKHOUSE LANE
253,1,EUSTON BUS STATION  
253,2,HACKNEY CENTRAL STATION 
254,1,CALEDONIAN ROAD
254,2,ALDGATE BUS STATION
255,1,MOUNT EPHRAIM ROAD
255,2,SOUTH LODGE AVENUE / YORKSHIRE ROAD
256,1,NOAK HILL ROAD
256,2,ST GEORGES HOSPITAL
257,1,WALTHAMSTOW BUS STATION
257,2,STRATFORD BUS STATION   [DLR]
258,1,SOUTH HARROW BUS STATION
258,2,WOODFORD ROAD
259,1,KING'S CROSS ROAD / PENTONVILLE ROAD
259,2,EDMONTON GREEN BUS STATION
260,1,GOLDERS GREEN STATION 
260,2,WHITE CITY BUS STATION 
261,1,PRINCESS ROYAL UNIVERSITY HOSPITAL
261,2,LEWISHAM BUS STATION
262,1,STRATFORD BUS STATION   [DLR]
262,2,SAINSBURY'S EAST BECKTON
263,1,BARNET HOSPITAL
263,2,CALEDONIAN ROAD
264,1,ST GEORGE'S HOSPITAL
264,2,CROYDON FLYOVER
265,1,TOLWORTH / KING CHARLES ROAD
265,2,PUTNEY BRIDGE STATION 
266,1,BRENT CROSS SHOPPING CENTRE
266,2,HAMMERSMITH BUS STATION
267,1,FULWELL BUS GARAGE
267,2,HAMMERSMITH BUS STATION
268,1,O2 CENTRE / SAINSBURY'S
268,2,GOLDERS GREEN STATION 
269,1,BROMLEY NORTH STATION 
269,2,FRISWELL PLACE
270,1,MADEIRA ROAD
270,2,PUTNEY BRIDGE STATION 
271,1,FINSBURY SQUARE
271,2,SOUTH GROVE
272,1,SHEPHERDS BUSH STATION  
272,2,CAVENDISH ROAD
273,1,STATION SQUARE / PETTS WOOD STATION 
273,2,CONINGTON ROAD
274,1,LANCASTER GATE STATION 
274,2,ANGEL ISLINGTON / CITY ROAD
275,1,BARKINGSIDE TESCO
275,2,ST JAMES STREET STATION 
276,1,STOKE NEWINGTON COMMON
276,2,GATEWAY SURGICAL CENTRE
277,1,NUTMEG LANE
277,2,HIGHBURY CORNER
279,1,MANOR HOUSE STATION 
279,2,WALTHAM CROSS BUS STATION
280,1,BELMONT STATION  / BRIGHTON ROAD
280,2,ST GEORGE'S HOSPITAL
281,1,HOUNSLOW BUS STATION
281,2,TOLWORTH TOWER
282,1,MOUNT VERNON HOSPITAL
282,2,EALING HOSPITAL
283,1,BARNES POND
283,2,EAST ACTON INDUSTRIAL ESTATE
284,1,GROVE PARK CEMETERY
284,2,LEWISHAM BUS STATION
285,1,CROMWELL ROAD BUS STATION
285,2,HEATHROW CENTRAL BUS STATION
286,1,QUEEN MARY'S HOSPITAL / FROGNAL AVENUE
286,2,GREENWICH TOWN CENTRE / CUTTY SARK
287,1,ABBEY WOOD
287,2,BARKING STATION  
288,1,MEADFIELD
288,2,QUEENSBURY MORRISONS
289,1,PURLEY STATION 
289,2,ELMERS END INTERCHANGE  >T<
290,1,ARRAGON ROAD
290,2,STAINES BUS STATION
291,1,GARLAND ROAD CLINIC
291,2,QUEEN ELIZABETH HOSPITAL / WEST ENTRANCE
292,1,COLINDALE ASDA
292,2,ROSSINGTON AVENUE
293,1,EPSOM HOSPITAL
293,2,MORDEN STATION 
294,1,NOAK HILL ROAD
294,2,HAVERING PARK
295,1,CLAPHAM JUNCTION STATION / FALCON ROAD 
295,2,KENSAL HOUSE
296,1,RODEN STREET
296,2,ROMFORD STATION 
297,1,EALING BROADWAY STATION  
297,2,MEYRICK ROAD
298,1,CRANBORNE ROAD INDUSTRIAL ESTATE
298,2,ARNOS GROVE STATION 
299,1,COCKFOSTERS STATION 
299,2,MUSWELL HILL
300,1,CANNING TOWN STATION  [DLR]
300,2,WORDSWORTH HEALTH CENTRE
302,1,KENSAL RISE STATION 
302,2,MILL HILL BROADWAY STATION 
303,1,COLINDALE ASDA
303,2,EDGWARE STATION 
305,1,KINGSBURY CIRCLE
