Bus_Stop_Code,Stop_Name
47341,OATLANDS ROAD
47342,FIFTH AVENUE
47343,MORNINGTON CRESCENT STATION <>
47344,CHARLTON STN # / CHARLTON CHURCH LANE
47345,BISHOPS PARK ROAD
47346,RUSHAM ROAD
47347,BEECHENLEA LANE
47348,BERTHA JAMES DAY CENTRE
47349,TEDDINGTON POLICE STATION
47350,BARKINGSIDE TESCO
47351,BALLS POND ROAD
47352,HAROLD WOOD LIBRARY
47353,ROBINSON ROAD
47354,JACKETS LANE
47355,BERTIE ROAD
47356,THE GLADE
47357,MORTLAKE STATION #
47358,HAMMERSMITH BUS STATION
47359,WHITEHALL LANE
47360,FREEBORNE GARDENS
47361,PEMBERTON GARDENS
47362,IMPERIAL WHARF STN # / CHELSEA HARBOUR
47363,HEWENS ROAD
47364,BARNABAS ROAD
47365,HARDY WAY
47366,NEW CROSS BUS GARAGE
47367,HARRIS CITY ACADEMY
47368,NALLHEAD ROAD
47369,MILTON ROAD
47370,NORTH CHEAM SPORTS CLUB
47371,CHISWICK PARK STATION <>
47373,HOLYROOD GARDENS
47374,ST PAUL'S WAY
47375,THE SQUARE
47376,MOAT FARM ROAD
47377,PETTS WOOD ROAD
47378,ORPINGTON / WALNUTS CENTRE
47379,TOWER VIEW
47381,UPHILL ROAD
47382,SOUTH KENSINGTON STATION <>
47383,NENE ROAD
47385,CANNING ROAD
47386,ELMFIELD WAY
47387,NEW PARK ROAD
47388,BURY STREET
47389,SHREWSBURY AVENUE
47390,RIPON PARK
47391,CROYDON UNIVERSITY HOSPITAL
47392,ST MARY'S AVENUE
47393,SOUTH KENTON STATION <> #
47394,HAMMERSMITH BUS STATION
47395,ROEBUCK ROAD
47396,EDERLINE AVENUE
47397,MANOR FARM ROAD
47398,TRAMWAY AVENUE
47399,KNATCHBULL ROAD
47400,DALE VIEW
47401,SOUTH LAMBETH ROAD / STOCKWELL STN <>
47402,ARCHWAY ROAD / ST JOHN'S WAY
47403,RUISLIP MANOR STATION <>
47404,NEW ELTHAM STATION # / SOUTHWOOD ROAD
47405,WINCHESTER ROAD
47406,RIDGE LANGLEY / WEST ARM
47407,THE EAST LONDON MOSQUE
47408,CHATSWORTH ESTATE
47409,STONEBRIDGE PARK STATION <> #
47410,HARINGEY CIVIC CENTRE
47412,RUSKIN AVENUE
47413,RUISLIP LIDO
47414,BECKWITH ROAD
47415,FERNDALE ROAD
47416,CANONBURY GROVE
47417,THE ACADEMY AT PECKHAM
47418,SANDYCOMBE ROAD
47419,BRIDGE STREET
47420,WOODBERRY AVENUE
47421,OLIVE STREET
47422,WATLING AVENUE
47423,CROSS LANE
47424,SYDNEY STREET / CHELSEA OLD TOWN HALL
47425,THE OAKS
47426,EALING ROAD
47427,ARENA TRAM STOP >T<
47428,NEWLANDS PARK
47429,CRANWELL CLOSE
47430,NEW ROAD
47431,PARK ROAD
47432,ST ANN'S ROAD
47433,CHARRINGTON STEPS
47434,CLAPHAM COMMON OLD TOWN
47435,REPTON AVENUE
47436,SHIRLEY CLINIC
47437,CARSHALTON ROAD / RINGSTEAD ROAD
47438,MALVERN AVENUE
47439,BETTS WAY
47440,SIPSON ROAD
47441,HIGH STREET / WICKHAM COURT ROAD
47442,BETSTYLE CIRCUS
47444,EASTWOOD DRIVE
47445,ILFORD HILL
47446,PINKWELL JUNIOR SCHOOL
47447,THORNTON ROAD
47448,EBENEZER WALK
47449,HARROW MANORWAY / ABBEY WOOD STATION #
47450,DENBIGH ROAD
47451,MONTANA ROAD
47452,WILTON STREET
47453,WEST STREET
47454,PINGLESTONE CLOSE
47455,COLLINGHAM ROAD / SAINSBURY'S
47456,CARLISLE ROAD
47457,FARNBOROUGH CRESCENT
47458,TROCADERO / HAYMARKET
47459,LAURISTON ROAD
47460,TURNPIKE LANE STATION <>
47463,BARNMEAD ROAD
47464,ELLISCOMBE ROAD
47465,WIMBLEDON PARK / ARTHUR ROAD
47466,HIGHBURY CORNER
47467,HARLESDEN ROAD
47468,SHIRLEY GROVE
47469,WARWICK TERRACE / PLUMSTEAD COMMON ROAD
47470,PUTNEY / ST MARY'S CHURCH
47471,STUMPS HILL LANE
47472,ROMNEY ROAD
47473,CAMBRIDGE CIRCUS
47474,CAMBERWELL GREEN
47475,EAST INDIA DOCK ROAD
47476,KINGSTON HALL ROAD
47478,NORTHWICK AVENUE
47479,PLAISTOW GROVE
47480,PUTNEY HEATH
47481,KEW BRIDGE STEAM MUSEUM
47482,HOWARD ROAD
47483,THE RED LION PUBLIC HOUSE
47484,HOUNSLOW WEST STATION <>
47485,BURY STREET WEST
47486,AVELING PARK ROAD
47487,KESTON PARK CLOSE
47488,PUTNEY STATION #
47489,PADDOCK GATES
47490,WEST DRIVE
47492,BELMONT HILL
47494,SUTTON LANE
47495,SOUTH VIEW COURT
47496,UXBRIDGE ROAD / SAINSBURYS
47497,HEATHER ROAD
47498,KENSAL GREEN CEMETERY
47499,ERITH HEALTH CENTRE
47500,GREEN LANES
47501,ST LEONARDS ROAD
47502,BROOM ROAD
47503,GUY ROAD
47504,GOLDBEATERS GROVE
47505,GOSPORT DRIVE
47506,HIGH ROAD LEYTON / BAKERS ARMS
47507,ELMWOOD ROAD / THE CHARTER SCHOOL
47508,WOOD GREEN BUS GARAGE
47509,FIELD VIEW
47510,THE PARKWAY
47511,SHEEP LANE
47512,NORTH END ROAD
47513,ROSSLYN AVENUE
47515,MORDEN STATION <>
47516,BRIERLEY
47517,ENDWELL ROAD
47518,SEAFORD ROAD
47519,STAPLES CORNER
47520,ADEN GROVE
47521,RIDLEY ROAD MARKET
47522,LONDON ROAD
47523,PETERGATE
47524,RAYMOUTH ROAD
47525,NEW STREET HILL
47526,EDITH GARDENS
47527,GRANVILLE ROAD
47528,BALHAM STATION <> #
47529,COURTLANDS AVENUE
